CODGEO;NBMENFISC21;NBPERSMENFISC21;MED21;PIMP21;TP6021;TP60AGE121;TP60AGE221;TP60AGE321;TP60AGE421;TP60AGE521;TP60AGE621;TP60TOL121;TP60TOL221;PACT21;PTSA21;PCHO21;PBEN21;PPEN21;PPAT21;PPSOC21;PPFAM21;PPMINI21;PPLOGT21;PIMPOT21;D121;D921;RD21
152;27316;56913;23370;53,5;11,4;18,5;13,1;13,0;10,1;9,1;9,8;5,9;25,4;69,1;59,8;2,8;6,5;32,3;9,7;4,9;1,5;2,4;1,0;-16,0;13290;39340;3,0
153;26698;53997;22310;48,4;14,7;25,8;18,5;16,5;14,6;10,9;12,0;8,5;30,7;60,4;51,0;2,7;6,7;39,6;8,8;5,5;1,6;2,8;1,1;-14,3;12390;36690;3,0
154;26729;56120;20330;41,1;19,3;27,4;23,5;21,8;19,4;15,2;15,7;11,9;35,7;59,4;50,4;3,0;6,0;37,5;9,4;7,0;2,2;3,4;1,4;-13,3;11240;34160;3,0
155;24243;58575;22520;48,3;9,1;11,3;9,9;9,1;8,3;7,1;11,2;5,0;24,0;75,8;68,7;2,6;4,5;25,4;7,0;5,1;2,5;1,8;0,8;-13,3;14180;33950;2,4
156;23559;54666;18990;36,2;23,0;33,4;27,5;24,1;21,0;18,1;16,7;9,6;39,7;67,2;61,0;2,9;3,3;29,5;4,4;10,5;3,3;5,0;2,2;-11,6;11040;30930;2,8
157;25820;54295;23700;56,5;12,1;18,6;15,0;13,8;11,5;9,0;8,0;5,0;25,8;71,9;59,3;2,5;10,1;29,5;11,7;4,3;1,5;2,0;0,8;-17,4;12990;40290;3,1
158;24919;56970;24590;57,8;9,1;12,7;10,2;11,2;7,8;6,7;8,2;5,0;20,5;76,4;69,2;2,6;4,6;26,9;9,0;3,8;1,6;1,6;0,6;-16,1;14230;40260;2,8
159;25600;54447;21330;45,6;17,6;27,3;21,0;20,2;17,4;12,8;12,0;8,4;30,1;68,4;58,8;3,3;6,3;30,1;9,5;6,9;2,0;3,5;1,4;-14,9;11270;36250;3,2
160;25245;51778;22040;49,2;13,4;23,4;16,4;14,8;12,4;10,1;9,8;5,8;28,6;66,4;58,4;2,2;5,8;34,7;7,4;5,6;1,7;2,8;1,1;-14,1;12710;35360;2,8
161;25465;57086;22440;49,4;12,6;21,2;16,9;14,5;11,3;8,9;8,0;5,3;30,3;68,8;61,1;2,9;4,8;31,2;8,7;5,4;2,1;2,2;1,1;-14,1;12790;35870;2,8
162;24039;51079;21710;47,1;14,2;21,4;17,5;15,2;13,6;11,3;10,7;7,0;28,1;67,6;58,7;2,5;6,4;33,5;7,4;5,7;2,0;2,6;1,1;-14,2;12480;35550;2,8
163;22469;52886;24480;57,7;11,4;14,0;13,1;12,5;10,9;9,6;8,1;5,0;22,3;80,5;73,3;3,9;3,3;22,7;8,5;3,7;1,8;1,3;0,6;-15,4;13290;43740;3,3
164;23780;51788;21010;44,1;17,1;28,0;22,4;18,8;15,9;12,5;11,3;7,7;33,9;66,2;57,1;2,5;6,6;32,5;8,0;7,3;2,1;3,9;1,3;-14,0;11620;34760;3,0
165;23728;54372;21880;48,4;17,3;23,2;18,6;19,4;16,8;15,5;12,8;7,6;32,4;69,8;60,5;3,4;5,9;29,5;9,2;6,3;2,3;2,7;1,3;-14,8;11590;36860;3,2
166;29793;58124;20540;43,9;20,8;33,2;28,3;26,6;22,9;15,4;12,2;12,3;33,7;52,4;42,5;4,1;5,8;43,4;11,6;6,8;1,6;3,7;1,5;-14,2;10750;35540;3,3
167;24802;54154;23410;55,2;11,8;14,7;14,5;14,7;10,1;8,6;9,9;5,3;23,6;71,6;63,8;2,9;4,9;30,5;8,5;4,4;1,8;1,8;0,8;-15,0;13190;37570;2,8
168;21931;52141;21640;48,6;17,8;22,6;20,4;23,3;16,2;13,0;10,8;6,0;34,1;72,0;65,5;3,5;3,0;27,9;8,7;5,8;2,5;2,2;1,1;-14,4;11610;36760;3,2
169;22699;54945;23020;50,2;8,2;11,5;7,8;9,1;7,7;6,1;9,5;5,0;20,2;78,0;70,0;2,6;5,4;23,2;8,0;4,9;2,3;1,8;0,8;-14,1;14520;35940;2,5
170;22825;49842;22580;49,6;11,9;16,8;15,3;12,7;10,1;9,6;11,3;7,2;25,6;69,7;62,3;2,2;5,2;31,8;7,9;4,8;1,6;2,3;0,9;-14,2;13230;36060;2,7
171;23219;50403;21260;43,8;14,8;22,9;18,0;17,0;14,2;11,4;10,4;7,4;33,5;64,9;57,3;2,5;5,1;34,5;7,7;5,8;2,1;2,6;1,1;-12,9;12360;33290;2,7
172;23283;50996;21730;44,3;11,6;16,0;13,9;13,1;10,0;8,5;10,5;5,4;25,6;69,1;61,5;2,5;5,1;30,8;7,3;5,9;2,2;2,6;1,1;-13,1;13340;34030;2,6
173;21885;52933;22520;46,7;7,1;9,2;7,1;6,7;7,1;5,8;9,8;5,0;19,6;76,4;69,1;2,6;4,7;24,6;7,6;4,4;2,3;1,5;0,6;-13,0;14980;33720;2,3
174;22048;48408;24650;58,7;9,0;13,9;8,3;10,2;8,4;8,0;8,2;5,0;20,5;72,4;60,4;2,4;9,6;28,1;14,2;3,4;1,4;1,4;0,6;-18,1;14310;43940;3,1
175;22051;46667;21090;43,8;16,9;21,2;18,1;19,4;15,6;14,1;16,4;10,4;31,9;64,5;55,6;2,6;6,3;34,4;9,0;6,0;2,0;2,8;1,2;-13,9;11730;34760;3,0
176;22784;46909;21110;43,9;14,7;21,4;17,2;18,3;14,9;10,8;10,8;6,7;30,6;61,5;54,3;2,7;4,5;38,8;6,0;6,6;2,0;3,3;1,3;-12,9;12470;33790;2,7
177;22174;45986;22530;51,3;12,9;25,2;15,7;15,3;11,4;9,8;9,3;5,9;30,0;66,0;58,5;2,1;5,4;36,0;6,9;5,6;1,7;2,8;1,1;-14,5;12840;36140;2,8
178;21151;46961;22200;49,4;15,8;25,1;21,5;20,7;13,4;10,4;10,7;7,5;32,5;67,5;59,9;2,9;4,7;33,8;7,3;5,6;1,8;2,7;1,1;-14,2;12030;36850;3,1
179;23385;46103;21620;46,6;16,8;25,1;20,1;18,7;15,8;12,6;16,0;10,8;33,5;61,1;53,0;2,1;6,0;39,2;6,7;6,2;1,7;3,4;1,1;-13,2;11630;34220;2,9
180;23763;52759;22470;49,4;9,2;10,9;9,1;10,2;9,3;7,0;11,4;6,3;18,2;64,8;56,9;2,6;5,3;35,3;9,7;4,2;1,8;1,7;0,7;-14,0;14120;35070;2,5
181;22252;50866;27450;62,3;7,7;7,6;6,2;8,7;7,2;8,4;9,0;5,0;17,6;88,0;79,5;3,3;5,2;20,0;7,1;3,0;1,3;1,2;0,5;-18,1;15030;49070;3,3
182;21727;46604;22600;51,0;12,2;18,6;15,6;14,9;11,8;8,9;7,4;5,4;29,4;67,3;59,5;2,6;5,2;34,2;8,0;5,0;1,8;2,3;0,9;-14,5;13040;37110;2,8
183;21046;43676;21740;48,3;14,0;22,2;16,0;17,5;12,8;11,0;10,3;6,4;27,9;64,4;57,5;2,7;4,2;37,7;5,6;6,0;1,9;2,8;1,3;-13,7;12610;34970;2,8
184;19770;44175;22520;31,6;21,9;28,9;25,9;25,9;20,6;15,6;16,8;10,3;40,2;38,4;32,7;2,7;3,0;21,4;43,8;4,6;1,1;2,4;1,1;-8,2;9750;43560;4,5
185;20678;45467;22120;49,4;18,2;25,9;21,2;21,0;18,4;14,6;13,0;7,5;38,5;67,8;59,5;2,8;5,5;32,7;7,9;6,3;2,1;2,9;1,3;-14,7;11230;36940;3,3
186;24334;49078;23400;52,3;10,1;14,9;12,4;11,2;10,1;8,2;8,5;5,6;20,1;58,2;48,6;2,3;7,3;42,2;11,4;3,9;1,3;1,8;0,8;-15,7;13820;40070;2,9
187;22317;48260;23030;50,2;10,5;18,4;10,7;10,8;10,5;8,7;9,1;5,6;23,9;66,8;58,4;3,0;5,4;34,6;7,8;5,1;1,8;2,3;1,0;-14,3;13680;36850;2,7
188;21433;46961;21640;45,8;13,1;19,3;15,2;14,9;12,9;9,4;11,6;8,4;28,4;65,0;57,7;3,1;4,2;35,0;7,4;5,7;2,1;2,6;1,0;-13,1;12850;34110;2,7
189;20120;46920;21180;41,9;14,2;20,4;17,6;14,5;13,9;9,0;14,6;7,1;35,4;69,6;61,0;2,4;6,2;29,2;8,5;5,5;2,4;2,2;0,9;-12,8;12420;32790;2,6
190;20097;45241;22200;50,1;16,7;20,0;18,6;20,6;14,2;14,8;12,8;8,5;32,1;68,6;61,3;3,1;4,2;31,3;9,3;5,8;2,3;2,4;1,1;-15,0;11870;37610;3,2
191;19236;44294;21420;46,7;12,0;15,7;14,9;12,9;10,2;9,7;10,5;5,4;26,8;70,9;63,4;2,4;5,1;28,9;7,9;5,5;2,5;2,0;1,0;-13,2;13180;32880;2,5
192;26067;53159;23470;54,7;8,2;11,2;9,4;9,7;10,3;5,4;7,4;5,5;16,7;54,2;46,4;2,9;4,9;47,7;9,6;3,0;1,2;1,3;0,5;-14,5;14590;37170;2,5
193;19536;41678;21980;47,5;14,8;26,2;17,5;15,4;13,3;11,2;12,1;6,5;31,5;68,1;58,7;2,3;7,1;31,4;8,7;6,1;1,9;3,0;1,2;-14,3;12140;35960;3,0
194;21400;43622;21440;45,6;13,9;18,7;15,7;15,5;13,9;11,3;11,4;8,7;26,9;64,3;56,7;2,8;4,8;35,1;8,1;5,7;1,9;2,7;1,1;-13,2;12590;34030;2,7
195;21039;43067;21310;45,8;18,0;31,5;22,8;20,9;17,4;13,4;14,2;10,7;35,6;59,3;51,0;2,7;5,6;39,4;7,9;6,9;1,9;3,7;1,3;-13,5;11320;34790;3,1
196;19662;42886;21890;50,3;16,4;20,8;21,3;20,3;15,1;12,2;10,5;8,0;34,1;65,8;58,3;2,9;4,6;35,4;7,0;5,9;2,2;2,6;1,1;-14,1;11920;35630;3,0
197;17575;39719;19210;40,8;26,2;37,9;36,0;35,2;24,5;16,8;14,8;11,1;41,6;65,0;57,1;3,7;4,2;32,5;6,5;9,4;2,5;4,8;2,1;-13,4;10000;35250;3,5
198;19382;42161;21170;43,5;14,3;20,3;15,4;15,1;14,8;11,0;13,4;8,6;27,0;66,4;57,3;2,5;6,6;32,8;7,6;5,9;2,1;2,7;1,1;-12,7;12470;32760;2,6
199;19182;41774;21370;46,1;16,2;23,8;18,9;17,3;14,7;13,4;13,7;8,9;30,7;67,7;59,1;3,1;5,5;31,0;7,8;7,2;2,1;3,6;1,5;-13,7;11960;35010;2,9
200;22712;41963;19960;43,5;24,7;30,2;33,5;32,1;27,3;19,0;15,9;10,1;37,2;52,7;42,9;3,7;6,1;42,6;12,9;7,9;1,7;4,4;1,8;-16,1;10320;37150;3,6
201;18705;42778;20850;44,6;20,5;22,4;22,7;23,2;18,9;19,4;16,2;8,8;35,3;69,6;60,1;4,0;5,5;28,0;11,0;6,4;2,3;2,9;1,2;-15,0;10870;37560;3,5
202;17512;42986;23320;51,9;6,0;9,4;5,6;5,9;5,4;5,3;7,7;5,0;17,3;79,9;73,4;2,3;4,2;21,6;8,5;4,0;2,2;1,2;0,6;-14,0;15420;35320;2,3
203;19168;40331;21670;48,0;15,5;22,4;20,9;19,9;16,2;10,0;9,8;8,4;33,3;61,1;54,5;2,7;3,9;39,7;6,8;5,9;1,9;2,9;1,1;-13,5;12010;34790;2,9
204;18515;40513;21600;44,6;12,8;17,3;15,0;15,1;11,5;10,7;10,9;7,5;28,8;65,4;56,7;2,7;6,0;35,5;6,9;5,5;2,0;2,5;1,0;-13,3;12960;34370;2,7
205;19677;41173;22180;48,5;12,2;17,2;16,2;13,8;12,2;8,8;10,4;7,4;24,7;61,7;50,6;2,3;8,8;39,1;8,8;4,9;1,7;2,3;0,9;-14,5;13080;37000;2,8
206;18457;36890;22410;49,9;12,9;25,0;16,4;15,3;11,9;8,6;11,0;7,3;27,7;61,1;54,2;2,3;4,6;40,5;6,9;5,0;1,6;2,4;1,0;-13,5;12780;35430;2,8
207;17605;37911;22320;48,4;11,7;19,9;13,6;13,7;10,4;8,4;10,7;6,6;28,5;67,2;58,7;2,3;6,2;32,6;8,9;5,2;1,9;2,4;0,9;-13,9;13250;35330;2,7
208;18488;38337;20490;42,5;19,3;35,1;26,6;24,0;17,8;13,3;10,3;8,8;42,3;59,7;52,9;3,0;3,8;38,0;6,4;8,5;2,4;4,4;1,7;-12,6;11070;32970;3,0
209;16444;37862;21750;50,1;16,6;27,9;20,9;18,4;15,5;12,2;8,5;7,3;33,8;71,6;62,1;3,4;6,1;29,3;7,2;6,6;2,5;2,8;1,3;-14,7;11730;35410;3,0
210;17166;38094;23180;49,8;10,5;15,6;11,6;11,3;9,1;8,4;11,3;5,6;23,7;69,8;62,1;2,5;5,2;29,4;11,0;4,6;1,9;1,9;0,8;-14,8;13650;37420;2,7
211;21569;40411;25190;58,8;11,0;16,7;15,1;14,3;13,1;8,1;7,0;6,1;18,5;55,0;44,7;2,8;7,5;45,4;16,8;3,0;0,8;1,6;0,6;-20,2;13460;48430;3,6
212;15182;37175;21870;43,1;9,0;11,0;8,6;9,2;9,0;7,9;9,9;5,5;23,5;75,2;67,1;2,5;5,6;25,1;6,8;5,2;2,8;1,7;0,7;-12,3;14210;32350;2,3
213;16744;36914;21190;45,6;19,1;26,1;23,0;22,8;18,0;14,6;13,9;9,9;34,3;65,5;56,0;3,5;6,0;33,6;8,6;6,7;2,3;3,1;1,3;-14,4;10950;35590;3,3
214;17634;37846;23290;51,9;9,6;13,9;10,1;10,8;9,6;7,8;8,7;5,9;23,5;64,4;56,4;2,7;5,3;37,8;7,5;4,5;1,7;2,0;0,8;-14,2;14000;35880;2,6
215;16060;33807;21400;45,2;15,7;23,4;20,9;18,8;15,5;10,4;10,7;7,0;32,3;63,3;54,5;2,3;6,5;36,5;7,1;6,1;2,1;2,8;1,2;-13,0;11960;33610;2,8
216;16587;34748;20210;40,3;21,8;37,3;25,2;24,4;20,2;17,7;13,2;8,5;39,7;64,4;55,9;3,0;5,5;32,0;7,1;9,1;2,4;4,7;2,0;-12,6;10650;33260;3,1
217;16357;35320;21160;42,2;14,3;19,9;18,7;15,5;12,2;11,2;12,8;8,2;34,3;63,7;55,4;2,5;5,8;34,6;8,8;6,0;2,1;2,8;1,1;-13,1;12510;32630;2,6
218;15334;33203;21240;45,8;15,3;24,6;17,8;16,5;15,2;11,8;12,0;6,9;32,2;66,3;56,9;2,8;6,6;33,4;7,5;6,3;2,1;3,0;1,2;-13,5;12250;34570;2,8
219;15499;34614;22610;49,0;10,4;14,8;12,6;11,0;10,2;7,3;9,2;5,3;24,7;68,9;61,4;2,0;5,5;30,7;9,1;5,0;2,2;1,9;0,9;-13,7;13670;34730;2,5
220;15643;33485;21580;46,5;14,4;24,2;18,4;16,2;14,3;9,9;9,2;5,7;28,2;64,8;57,5;2,7;4,6;35,1;7,2;6,8;2,1;3,4;1,3;-13,9;12590;35300;2,8
221;14570;33710;19410;37,8;20,8;29,6;25,0;21,5;18,2;16,7;15,9;7,7;35,1;70,0;63,9;2,9;3,2;28,7;3,8;9,3;3,0;4,4;1,9;-11,8;11330;31350;2,8
222;14733;34710;19020;39,4;27,6;33,8;32,3;30,8;26,6;24,5;19,4;12,1;44,7;68,1;57,5;4,5;6,1;27,8;8,2;9,4;3,1;4,3;2,0;-13,5;9780;33760;3,5
223;14636;31330;21680;48,7;14,6;24,7;19,7;18,3;14,3;9,5;8,4;6,8;34,5;62,9;54,2;2,3;6,4;37,5;7,6;5,7;2,2;2,5;1,0;-13,7;12280;34880;2,8
224;16273;33574;21500;44,6;14,6;24,6;16,8;15,8;14,4;11,3;11,7;7,7;28,8;64,8;54,5;2,8;7,5;33,9;8,8;6,0;1,8;3,0;1,2;-13,5;12410;35330;2,8
225;15886;33387;20750;42,0;17,8;28,6;23,7;21,4;14,8;14,7;11,9;10,2;37,2;64,2;56,9;3,2;4,1;34,8;7,4;6,4;2,0;3,2;1,2;-12,8;11600;33940;2,9
226;16095;32877;22150;48,2;14,4;18,8;15,6;17,0;13,3;11,8;13,9;9,8;28,1;62,8;53,7;2,9;6,2;37,4;8,8;4,9;1,5;2,5;0,9;-13,9;12350;35820;2,9
227;14997;32564;22170;49,7;11,3;13,5;13,3;14,0;11,1;8,8;7,3;6,2;25,4;67,5;59,6;2,6;5,3;33,9;7,6;4,8;1,9;2,0;0,9;-13,8;13370;34030;2,5
228;14403;32683;21040;42,0;14,9;24,2;17,4;17,1;12,8;10,7;12,7;8,9;33,0;68,0;59,0;2,6;6,4;30,9;7,2;6,7;2,6;3,0;1,1;-12,8;12490;32290;2,6
229;14771;33041;21850;45,1;13,0;20,9;16,6;13,8;12,1;9,5;10,8;7,6;29,7;66,3;56,8;2,3;7,2;33,6;7,7;5,7;2,3;2,4;1,0;-13,3;12830;33400;2,6
230;14688;31137;21940;48,9;13,9;24,9;16,9;16,4;13,3;10,6;8,8;7,0;29,6;64,1;56,4;2,3;5,4;36,3;7,7;6,2;1,9;3,1;1,2;-14,3;12520;36550;2,9
231;19045;39189;24970;59,2;7,8;15,0;8,3;10,0;8,2;5,7;6,5;5,0;16,4;56,6;49,2;2,8;4,6;45,3;11,6;2,9;1,1;1,3;0,5;-16,4;14740;42100;2,9
232;13430;30672;19370;38,3;22,7;34,0;28,6;25,6;21,1;16,0;11,7;10,1;44,4;67,1;59,1;3,3;4,7;30,0;5,1;10,0;3,1;4,9;2,0;-12,2;10890;31510;2,9
233;14610;28870;21720;47,1;15,8;s;18,3;18,8;15,6;12,5;15,8;11,5;27,5;57,1;47,2;3,3;6,6;41,2;11,1;4,7;1,4;2,4;0,9;-14,1;12020;36080;3,0
234;14699;32045;22930;49,7;9,9;13,6;12,2;9,6;9,9;7,8;9,0;5,3;21,3;69,7;61,3;2,2;6,2;31,9;8,0;4,8;1,8;2,1;0,9;-14,4;13880;36440;2,6
235;15378;31937;22550;51,7;13,0;23,5;16,1;16,3;13,0;8,5;8,9;5,7;27,2;61,7;53,0;2,4;6,3;39,2;8,4;5,5;1,6;2,8;1,1;-14,8;12800;37120;2,9
236;13720;31813;22070;47,5;13,3;20,2;17,2;13,7;11,4;9,8;11,3;5,9;28,5;70,0;62,0;2,2;5,8;29,2;9,1;6,0;2,2;2,8;1,0;-14,3;12900;36050;2,8
237;13804;30956;22150;48,2;13,1;21,9;16,0;13,6;12,1;10,0;10,9;6,2;27,9;70,2;63,0;2,6;4,6;31,1;6,4;6,4;2,2;3,0;1,2;-14,1;12840;36120;2,8
238;16772;31541;23390;54,2;13,1;17,6;14,4;15,9;15,8;10,7;9,3;7,5;21,6;57,7;47,9;3,0;6,8;40,7;17,1;3,4;1,0;1,7;0,7;-18,9;12760;45150;3,5
239;14600;29480;21070;44,9;16,8;25,1;22,7;20,0;15,6;13,0;12,8;10,3;31,0;60,2;51,2;2,5;6,5;39,5;8,1;5,7;1,8;2,8;1,1;-13,5;11820;34700;2,9
