CODGEO;NBMENFISC21;NBPERSMENFISC21;MED21;PIMP21;TP6021;TP60AGE121;TP60AGE221;TP60AGE321;TP60AGE421;TP60AGE521;TP60AGE621;TP60TOL121;TP60TOL221;PACT21;PTSA21;PCHO21;PBEN21;PPEN21;PPAT21;PPSOC21;PPFAM21;PPMINI21;PPLOGT21;PIMPOT21;D121;D921;RD21
60121;1668;4167;23770;58,9;9,6;s;s;s;s;s;s;s;20,2;85,8;80,3;3,3;2,2;19,6;3,5;5,5;2,7;1,9;0,9;-14,4;14150;35200;2,5
60122;1811;3892;19270;36,5;23,4;s;33,1;28,7;s;s;s;s;36,0;62,4;55,8;3,4;3,2;31,1;6,3;11,7;3,0;6,3;2,4;-11,5;11050;31690;2,9
60123;1819;4291;23930;56,2;8,5;s;s;s;s;s;s;s;18,0;75,8;70,3;2,2;3,3;29,2;5,1;4,6;2,1;1,7;0,8;-14,7;14540;36850;2,5
60124;1950;4431;24080;56,5;8,6;s;s;s;s;s;s;s;18,1;82,2;75,9;3,2;3,1;24,2;4,8;4,8;2,0;1,9;0,9;-16,0;14340;38420;2,7
60125;1677;4099;23680;55,8;9,4;s;s;s;s;s;s;s;24,3;76,8;71,3;3,1;2,4;27,6;4,0;5,9;2,6;2,3;1,0;-14,3;13980;36370;2,6
60201;1959;4964;22870;55,5;10,4;s;s;s;s;s;s;s;24,8;74,7;68,5;3,3;2,9;27,5;6,2;5,7;2,5;2,3;0,9;-14,1;13750;34020;2,5
60202;2252;5617;25500;64,7;5,9;s;s;s;s;s;s;s;14,8;83,1;76,9;2,6;3,6;24,0;5,1;3,7;1,9;1,3;0,5;-15,9;15980;38670;2,4
60203;2409;6090;26030;68,4;6,6;s;s;s;s;s;s;s;16,1;85,6;80,2;2,7;2,7;21,9;4,9;3,9;2,1;1,2;0,6;-16,3;15740;39020;2,5
60204;2322;5294;22140;50,9;13,6;s;s;s;s;s;s;s;30,2;72,4;67,8;2,7;1,9;30,4;4,0;6,5;2,4;2,9;1,2;-13,3;12330;34090;2,8
60205;2315;5506;23060;53,4;11,4;s;s;s;s;s;s;6,6;26,2;74,0;67,0;2,4;4,6;31,0;4,9;5,0;2,1;2,2;0,7;-14,9;13380;37350;2,8
60206;2771;6862;29660;75,0;5,0;s;s;s;s;s;s;s;s;88,2;81,6;2,6;4,0;23,7;6,6;2,3;1,2;0,7;0,4;-20,8;17610;49580;2,8
60207;2826;6064;20120;42,1;19,1;s;26,4;19,2;21,8;s;s;s;31,5;67,2;61,8;3,3;2,1;29,9;4,6;10,2;2,9;5,3;2,0;-11,9;11420;31720;2,8
60208;3323;7772;26190;64,2;6,6;s;s;s;s;s;s;s;14,3;79,7;72,8;2,6;4,3;25,9;8,2;3,7;1,7;1,4;0,6;-17,5;15240;42770;2,8
60301;4627;10762;22390;52,0;12,7;s;15,1;12,5;11,7;s;s;5,6;29,2;75,1;69,3;3,1;2,7;28,4;3,6;6,3;2,5;2,8;1,0;-13,4;12880;33660;2,6
60302;5219;14611;20280;47,0;21,2;27,1;22,9;23,9;18,5;19,1;s;8,2;37,8;76,7;70,8;4,0;1,9;22,3;4,6;9,4;4,2;3,7;1,5;-13,0;10740;32150;3,0
60303;6450;14530;23100;56,9;11,6;s;13,6;12,7;10,9;9,6;s;5,0;20,6;75,9;71,0;2,7;2,2;28,6;5,6;5,3;2,1;2,3;0,9;-15,4;13170;37830;2,9
60304;7197;15991;27200;65,4;10,1;s;15,1;10,1;8,5;9,1;s;5,0;17,4;79,6;72,8;2,7;4,1;25,0;14,8;3,2;1,2;1,3;0,7;-22,6;13790;55940;4,1
60305;6288;13976;18380;37,7;28,9;38,0;40,2;32,5;27,8;20,5;15,8;10,1;43,3;61,9;55,1;3,6;3,2;32,3;6,3;11,9;3,5;5,9;2,5;-12,4;9880;31700;3,2
60306;7002;16271;22340;53,0;15,9;17,5;20,4;18,9;13,7;10,7;s;6,0;29,3;77,7;71,6;3,4;2,7;25,9;4,4;6,8;2,5;3,0;1,3;-14,8;11890;36420;3,1
60401;9139;20569;24170;59,5;9,7;20,9;11,2;10,7;7,6;6,6;s;5,0;20,4;77,9;72,3;2,4;3,2;27,1;5,3;5,3;2,0;2,4;0,9;-15,6;13960;37670;2,7
60402;16209;36053;30600;72,7;7,0;s;9,1;7,9;6,4;5,4;5,7;5,0;15,5;81,6;72,6;2,6;6,4;27,1;13,1;2,2;0,9;0,9;0,4;-24,0;15640;58200;3,7
60501;25833;55350;19990;47,0;24,1;32,7;31,7;29,2;23,6;14,6;10,2;6,6;35,8;68,3;61,7;3,1;3,5;29,3;6,8;10,0;2,9;5,0;2,1;-14,4;10330;34860;3,4
60502;29774;64716;22450;53,9;17,1;29,8;21,5;19,7;15,2;11,7;9,1;5,1;29,4;74,0;66,5;3,0;4,5;28,0;9,3;6,3;2,1;2,9;1,3;-17,6;11540;41580;3,6
60601;45409;116854;19850;46,8;24,2;29,2;29,3;29,0;22,6;16,6;13,2;9,1;38,7;74,0;68,0;3,5;2,5;25,3;4,2;10,0;3,9;4,2;1,9;-13,5;10260;33930;3,3
61101;917;1658;21230;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
61102;1626;2914;22960;48,0;11,6;s;s;s;s;s;s;s;21,4;49,8;41,7;2,1;6,0;45,9;17,9;3,1;0,8;1,7;0,6;-16,7;13240;38770;2,9
61103;1505;2742;19640;36,0;22,9;s;s;s;s;s;s;s;35,7;49,3;43,4;2,9;3,0;46,6;7,0;8,1;1,7;4,5;1,9;-11,0;11160;31220;2,8
61104;1779;3428;20400;37,7;17,8;s;s;s;s;s;s;s;29,9;59,3;52,4;2,1;4,8;36,8;7,8;8,4;2,1;4,5;1,8;-12,3;12050;33160;2,8
61105;2119;4043;21460;40,7;15,1;s;s;s;s;s;s;7,4;30,4;56,0;48,1;1,8;6,1;42,7;7,8;6,0;1,6;3,2;1,2;-12,5;12450;33130;2,7
61106;2207;4211;20910;43,7;19,1;s;s;26,9;s;s;s;s;32,9;59,0;51,9;2,1;5,0;40,3;8,7;7,3;1,8;3,8;1,7;-15,3;10590;35400;3,3
61107;2147;4563;20520;39,2;14,9;s;s;s;s;s;s;9,0;30,6;65,2;57,2;2,3;5,7;34,9;6,3;5,5;2,1;2,4;1,0;-11,9;12350;31450;2,5
61201;2506;4774;19820;37,2;19,7;s;s;27,2;s;s;s;8,0;36,4;53,6;46,8;2,7;4,1;42,6;8,1;7,9;1,8;4,3;1,8;-12,2;11220;32800;2,9
61301;5134;10193;19910;41,4;22,2;31,6;29,5;28,8;21,2;16,9;s;8,8;38,3;59,4;51,1;2,7;5,6;37,4;8,4;8,4;2,2;4,3;1,9;-13,6;10630;33880;3,2
61302;6807;13113;19820;40,5;22,7;34,0;32,8;30,3;22,4;14,0;11,0;6,1;35,3;57,3;50,5;2,5;4,3;40,0;5,7;9,2;2,4;4,7;2,1;-12,2;10520;31650;3,0
61401;9956;20382;20320;41,1;20,3;32,9;28,4;25,7;18,0;14,2;11,0;7,5;39,3;60,5;53,1;2,8;4,6;37,0;7,8;7,7;2,2;3,8;1,7;-13,0;11240;33660;3,0
62101;875;2187;24090;56,6;s;s;s;s;s;s;s;s;s;78,9;72,2;2,4;4,3;27,3;4,9;3,6;1,6;1,6;0,4;-14,7;15310;36740;2,4
62102;990;2103;17990;33,6;24,1;s;s;s;s;s;s;s;35,6;59,1;50,6;2,8;5,7;32,6;8,2;12,1;3,2;6,2;2,7;-12,0;11230;31500;2,8
62103;1021;2471;19850;40,5;19,3;s;s;s;s;s;s;s;41,0;67,6;57,5;2,3;7,8;28,5;8,8;8,0;3,1;3,3;1,6;-12,9;12020;33260;2,8
62104;1139;2419;18150;32,8;27,9;s;s;s;s;s;s;s;47,2;54,1;46,5;3,1;4,5;39,8;7,0;10,3;2,5;5,5;2,3;-11,2;9930;30170;3,0
62105;1060;2445;18480;31,5;22,8;s;s;s;s;s;s;s;41,2;57,2;50,7;2,9;3,6;36,4;9,5;8,7;2,6;4,4;1,7;-11,8;11270;30380;2,7
62106;1066;2489;20650;42,6;17,5;s;s;s;s;s;s;s;34,2;67,4;60,5;2,9;4,0;31,7;6,3;7,2;2,5;3,3;1,4;-12,6;12090;32800;2,7
62107;1139;2789;21450;44,1;14,5;s;s;s;s;s;s;s;30,2;69,4;61,6;2,1;5,7;30,4;8,4;5,4;2,4;2,0;1,0;-13,6;12120;34510;2,8
62108;1131;2901;20110;39,3;18,3;s;s;s;s;s;s;11,6;38,6;75,1;67,8;2,4;4,9;24,2;4,8;7,9;3,7;3,0;1,2;-12,0;12150;30400;2,5
62109;1109;2740;21150;43,3;15,0;s;s;s;s;s;s;s;28,7;72,3;64,9;2,6;4,8;28,7;5,2;6,6;2,6;2,8;1,2;-12,8;12480;33240;2,7
62110;1153;3073;20640;40,8;16,5;s;s;s;s;s;s;s;33,6;78,5;71,6;2,6;4,3;22,7;3,4;7,4;3,2;3,0;1,2;-12,0;12230;32120;2,6
62111;1393;3205;20540;42,8;15,8;s;s;s;s;s;s;s;31,4;63,1;55,0;2,5;5,6;36,5;5,0;7,3;2,8;3,2;1,3;-11,9;12390;30910;2,5
62112;1356;3455;24080;58,3;9,1;s;s;s;s;s;s;s;s;79,3;71,7;2,4;5,2;26,3;6,0;3,7;2,0;1,2;0,5;-15,3;14420;38990;2,7
