COD_VAR;LIB_VAR;LIB_VAR_LONG;COD_MOD;LIB_MOD;TYPE_VAR;LONG_VAR
PPEN21;Part des pensions, retraites et rentes (%);Part des pensions, retraites et rentes (%);;;CHAR;4
PPAT21;Part des revenus du patrimoine et autres revenus (%);Part des revenus du patrimoine et des autres revenus (%);;;CHAR;4
PPSOC21;Part de l'ensemble des prestations sociales (%);Part de l'ensemble des prestations sociales (%);;;CHAR;4
PPFAM21;dont part des prestations familiales (%);dont part des prestations familiales (%);;;CHAR;3
PPMINI21;dont part des minima sociaux (%);dont part des minima sociaux (%);;;CHAR;4
PPLOGT21;dont part des prestations logement (%);dont part des prestations logement (%);;;CHAR;3
PIMPOT21;Part des impôts (%);Part des impôts (%);;;CHAR;5
D121;1er décile du niveau de vie (€);1er décile du niveau de vie (€);;;CHAR;5
D921;9e décile du niveau de vie (€);9e décile du niveau de vie (€);;;CHAR;6
RD21;Rapport interdécile 9e décile/1er décile;Rapport interdécile 9e décile/1er décile;;;CHAR;3
CODGEO;Code géographique;Code géographique;01004;Ambérieu-en-Bugey;CHAR;5
CODGEO;Code géographique;Code géographique;01033;Valserhône;CHAR;5
CODGEO;Code géographique;Code géographique;01034;Belley;CHAR;5
CODGEO;Code géographique;Code géographique;01053;Bourg-en-Bresse;CHAR;5
CODGEO;Code géographique;Code géographique;01072;Ceyzériat;CHAR;5
CODGEO;Code géographique;Code géographique;01093;Châtillon-sur-Chalaronne;CHAR;5
CODGEO;Code géographique;Code géographique;01138;Culoz-Béon;CHAR;5
CODGEO;Code géographique;Code géographique;01143;Divonne-les-Bains;CHAR;5
CODGEO;Code géographique;Code géographique;01160;Ferney-Voltaire;CHAR;5
CODGEO;Code géographique;Code géographique;01173;Gex;CHAR;5
CODGEO;Code géographique;Code géographique;01185;Plateau d'Hauteville;CHAR;5
CODGEO;Code géographique;Code géographique;01202;Lagnieu;CHAR;5
CODGEO;Code géographique;Code géographique;01244;Meximieux;CHAR;5
CODGEO;Code géographique;Code géographique;01262;Montluel;CHAR;5
CODGEO;Code géographique;Code géographique;01265;Montréal-la-Cluse;CHAR;5
CODGEO;Code géographique;Code géographique;01266;Montrevel-en-Bresse;CHAR;5
CODGEO;Code géographique;Code géographique;01283;Oyonnax;CHAR;5
CODGEO;Code géographique;Code géographique;01304;Pont-d'Ain;CHAR;5
CODGEO;Code géographique;Code géographique;01305;Pont-de-Vaux;CHAR;5
CODGEO;Code géographique;Code géographique;01333;Saint-André-de-Corcy;CHAR;5
CODGEO;Code géographique;Code géographique;01354;Saint-Genis-Pouilly;CHAR;5
CODGEO;Code géographique;Code géographique;01443;Villars-les-Dombes;CHAR;5
CODGEO;Code géographique;Code géographique;01457;Vonnas;CHAR;5
CODGEO;Code géographique;Code géographique;02095;Bohain-en-Vermandois;CHAR;5
CODGEO;Code géographique;Code géographique;02163;Charly-sur-Marne;CHAR;5
CODGEO;Code géographique;Code géographique;02168;Château-Thierry;CHAR;5
CODGEO;Code géographique;Code géographique;02173;Chauny;CHAR;5
CODGEO;Code géographique;Code géographique;02305;Fère-en-Tardenois;CHAR;5
CODGEO;Code géographique;Code géographique;02360;Villeneuve-sur-Aisne;CHAR;5
CODGEO;Code géographique;Code géographique;02361;Guise;CHAR;5
CODGEO;Code géographique;Code géographique;02381;Hirson;CHAR;5
CODGEO;Code géographique;Code géographique;02408;Laon;CHAR;5
CODGEO;Code géographique;Code géographique;02468;Marle;CHAR;5
CODGEO;Code géographique;Code géographique;02502;Montcornet;CHAR;5
CODGEO;Code géographique;Code géographique;02558;Le Nouvion-en-Thiérache;CHAR;5
CODGEO;Code géographique;Code géographique;02691;Saint-Quentin;CHAR;5
CODGEO;Code géographique;Code géographique;02722;Soissons;CHAR;5
CODGEO;Code géographique;Code géographique;02738;Tergnier;CHAR;5
CODGEO;Code géographique;Code géographique;02789;Vervins;CHAR;5
CODGEO;Code géographique;Code géographique;02810;Villers-Cotterêts;CHAR;5
CODGEO;Code géographique;Code géographique;03036;Bourbon-l'Archambault;CHAR;5
CODGEO;Code géographique;Code géographique;03082;Commentry;CHAR;5
CODGEO;Code géographique;Code géographique;03102;Dompierre-sur-Besbre;CHAR;5
CODGEO;Code géographique;Code géographique;03118;Gannat;CHAR;5
CODGEO;Code géographique;Code géographique;03138;Lapalisse;CHAR;5
CODGEO;Code géographique;Code géographique;03185;Montluçon;CHAR;5
CODGEO;Code géographique;Code géographique;03186;Montmarault;CHAR;5
CODGEO;Code géographique;Code géographique;03190;Moulins;CHAR;5
CODGEO;Code géographique;Code géographique;03254;Saint-Pourçain-sur-Sioule;CHAR;5
CODGEO;Code géographique;Code géographique;03298;Varennes-sur-Allier;CHAR;5
CODGEO;Code géographique;Code géographique;03310;Vichy;CHAR;5
CODGEO;Code géographique;Code géographique;04019;Barcelonnette;CHAR;5
CODGEO;Code géographique;Code géographique;04049;Château-Arnoux-Saint-Auban;CHAR;5
CODGEO;Code géographique;Code géographique;04070;Digne-les-Bains;CHAR;5
CODGEO;Code géographique;Code géographique;04088;Forcalquier;CHAR;5
CODGEO;Code géographique;Code géographique;04094;Gréoux-les-Bains;CHAR;5
CODGEO;Code géographique;Code géographique;04112;Manosque;CHAR;5
CODGEO;Code géographique;Code géographique;04143;Oraison;CHAR;5
CODGEO;Code géographique;Code géographique;04166;Riez;CHAR;5
CODGEO;Code géographique;Code géographique;04173;Saint-André-les-Alpes;CHAR;5
CODGEO;Code géographique;Code géographique;04209;Sisteron;CHAR;5
CODGEO;Code géographique;Code géographique;05006;L'Argentière-la-Bessée;CHAR;5
CODGEO;Code géographique;Code géographique;05023;Briançon;CHAR;5
CODGEO;Code géographique;Code géographique;05040;Chorges;CHAR;5
CODGEO;Code géographique;Code géographique;05046;Embrun;CHAR;5
CODGEO;Code géographique;Code géographique;05061;Gap;CHAR;5
CODGEO;Code géographique;Code géographique;05065;Guillestre;CHAR;5
CODGEO;Code géographique;Code géographique;05070;Laragne-Montéglin;CHAR;5
CODGEO;Code géographique;Code géographique;05132;Saint-Bonnet-en-Champsaur;CHAR;5
CODGEO;Code géographique;Code géographique;05170;Tallard;CHAR;5
CODGEO;Code géographique;Code géographique;05179;Veynes;CHAR;5
CODGEO;Code géographique;Code géographique;06029;Cannes;CHAR;5
CODGEO;Code géographique;Code géographique;06033;Carros;CHAR;5
CODGEO;Code géographique;Code géographique;06048;Contes;CHAR;5
CODGEO;Code géographique;Code géographique;06083;Menton;CHAR;5
CODGEO;Code géographique;Code géographique;06088;Nice;CHAR;5
CODGEO;Code géographique;Code géographique;06099;Puget-Théniers;CHAR;5
CODGEO;Code géographique;Code géographique;07010;Annonay;CHAR;5
CODGEO;Code géographique;Code géographique;07019;Aubenas;CHAR;5
CODGEO;Code géographique;Code géographique;07042;Bourg-Saint-Andéol;CHAR;5
CODGEO;Code géographique;Code géographique;07064;Le Cheylard;CHAR;5
CODGEO;Code géographique;Code géographique;07110;Joyeuse;CHAR;5
CODGEO;Code géographique;Code géographique;07129;Lamastre;CHAR;5
CODGEO;Code géographique;Code géographique;07132;Largentière;CHAR;5
CODGEO;Code géographique;Code géographique;07186;Privas;CHAR;5
CODGEO;Code géographique;Code géographique;07201;Ruoms;CHAR;5
CODGEO;Code géographique;Code géographique;07324;Tournon-sur-Rhône;CHAR;5
CODGEO;Code géographique;Code géographique;07330;Vallon-Pont-d'Arc;CHAR;5
CODGEO;Code géographique;Code géographique;07334;Les Vans;CHAR;5
CODGEO;Code géographique;Code géographique;07338;Vernoux-en-Vivarais;CHAR;5
CODGEO;Code géographique;Code géographique;07341;Villeneuve-de-Berg;CHAR;5
CODGEO;Code géographique;Code géographique;07349;La Voulte-sur-Rhône;CHAR;5
CODGEO;Code géographique;Code géographique;08090;Carignan;CHAR;5
CODGEO;Code géographique;Code géographique;08105;Charleville-Mézières;CHAR;5
CODGEO;Code géographique;Code géographique;08185;Fumay;CHAR;5
CODGEO;Code géographique;Code géographique;08190;Givet;CHAR;5
CODGEO;Code géographique;Code géographique;08302;Monthermé;CHAR;5
CODGEO;Code géographique;Code géographique;08328;Nouzonville;CHAR;5
CODGEO;Code géographique;Code géographique;08362;Rethel;CHAR;5
CODGEO;Code géographique;Code géographique;08363;Revin;CHAR;5
CODGEO;Code géographique;Code géographique;08409;Sedan;CHAR;5
CODGEO;Code géographique;Code géographique;08490;Vouziers;CHAR;5
CODGEO;Code géographique;Code géographique;09122;Foix;CHAR;5
CODGEO;Code géographique;Code géographique;09160;Lavelanet;CHAR;5
CODGEO;Code géographique;Code géographique;09167;Lézat-sur-Lèze;CHAR;5
CODGEO;Code géographique;Code géographique;09185;Mazères;CHAR;5
CODGEO;Code géographique;Code géographique;09194;Mirepoix;CHAR;5
CODGEO;Code géographique;Code géographique;09225;Pamiers;CHAR;5
CODGEO;Code géographique;Code géographique;09261;Saint-Girons;CHAR;5
CODGEO;Code géographique;Code géographique;09282;Saverdun;CHAR;5
CODGEO;Code géographique;Code géographique;09306;Tarascon-sur-Ariège;CHAR;5
CODGEO;Code géographique;Code géographique;10003;Aix-Villemaur-Pâlis;CHAR;5
CODGEO;Code géographique;Code géographique;10006;Arcis-sur-Aube;CHAR;5
CODGEO;Code géographique;Code géographique;10033;Bar-sur-Aube;CHAR;5
CODGEO;Code géographique;Code géographique;10034;Bar-sur-Seine;CHAR;5
CODGEO;Code géographique;Code géographique;10064;Brienne-le-Château;CHAR;5
CODGEO;Code géographique;Code géographique;10268;Nogent-sur-Seine;CHAR;5
CODGEO;Code géographique;Code géographique;10323;Romilly-sur-Seine;CHAR;5
CODGEO;Code géographique;Code géographique;10387;Troyes;CHAR;5
CODGEO;Code géographique;Code géographique;11049;Bram;CHAR;5
CODGEO;Code géographique;Code géographique;11069;Carcassonne;CHAR;5
CODGEO;Code géographique;Code géographique;11076;Castelnaudary;CHAR;5
CODGEO;Code géographique;Code géographique;11106;Coursan;CHAR;5
CODGEO;Code géographique;Code géographique;11203;Lézignan-Corbières;CHAR;5
CODGEO;Code géographique;Code géographique;11206;Limoux;CHAR;5
CODGEO;Code géographique;Code géographique;11262;Narbonne;CHAR;5
CODGEO;Code géographique;Code géographique;11266;Port-la-Nouvelle;CHAR;5
CODGEO;Code géographique;Code géographique;11304;Quillan;CHAR;5
CODGEO;Code géographique;Code géographique;11379;Sigean;CHAR;5
CODGEO;Code géographique;Code géographique;11397;Trèbes;CHAR;5
CODGEO;Code géographique;Code géographique;12052;Capdenac-Gare;CHAR;5
CODGEO;Code géographique;Code géographique;12056;Baraqueville;CHAR;5
CODGEO;Code géographique;Code géographique;12089;Decazeville;CHAR;5
CODGEO;Code géographique;Code géographique;12096;Espalion;CHAR;5
CODGEO;Code géographique;Code géographique;12119;Laguiole;CHAR;5
CODGEO;Code géographique;Code géographique;12120;Laissac-Sévérac l'Église;CHAR;5
CODGEO;Code géographique;Code géographique;12133;Luc-la-Primaube;CHAR;5
CODGEO;Code géographique;Code géographique;12138;Marcillac-Vallon;CHAR;5
CODGEO;Code géographique;Code géographique;12145;Millau;CHAR;5
CODGEO;Code géographique;Code géographique;12148;Montbazens;CHAR;5
CODGEO;Code géographique;Code géographique;12169;Naucelle;CHAR;5
CODGEO;Code géographique;Code géographique;12197;Réquista;CHAR;5
CODGEO;Code géographique;Code géographique;12198;Rieupeyroux;CHAR;5
CODGEO;Code géographique;Code géographique;12199;Rignac;CHAR;5
CODGEO;Code géographique;Code géographique;12202;Rodez;CHAR;5
CODGEO;Code géographique;Code géographique;12208;Saint-Affrique;CHAR;5
CODGEO;Code géographique;Code géographique;12224;Saint Geniez d'Olt et d'Aubrac;CHAR;5
CODGEO;Code géographique;Code géographique;12270;Sévérac d'Aveyron;CHAR;5
CODGEO;Code géographique;Code géographique;12300;Villefranche-de-Rouergue;CHAR;5
CODGEO;Code géographique;Code géographique;13001;Aix-en-Provence;CHAR;5
CODGEO;Code géographique;Code géographique;13004;Arles;CHAR;5
CODGEO;Code géographique;Code géographique;13022;Cassis;CHAR;5
CODGEO;Code géographique;Code géographique;13035;Eyguières;CHAR;5
CODGEO;Code géographique;Code géographique;13037;La Fare-les-Oliviers;CHAR;5
CODGEO;Code géographique;Code géographique;13047;Istres;CHAR;5
CODGEO;Code géographique;Code géographique;13050;Lambesc;CHAR;5
CODGEO;Code géographique;Code géographique;13051;Lançon-Provence;CHAR;5
CODGEO;Code géographique;Code géographique;13053;Mallemort;CHAR;5
CODGEO;Code géographique;Code géographique;13054;Marignane;CHAR;5
CODGEO;Code géographique;Code géographique;13055;Marseille;CHAR;5
CODGEO;Code géographique;Code géographique;13056;Martigues;CHAR;5
CODGEO;Code géographique;Code géographique;13063;Miramas;CHAR;5
CODGEO;Code géographique;Code géographique;13074;Peyrolles-en-Provence;CHAR;5
CODGEO;Code géographique;Code géographique;13078;Port-Saint-Louis-du-Rhône;CHAR;5
CODGEO;Code géographique;Code géographique;13080;Le Puy-Sainte-Réparade;CHAR;5
CODGEO;Code géographique;Code géographique;13084;La Roque-d'Anthéron;CHAR;5
CODGEO;Code géographique;Code géographique;13088;Le Rove;CHAR;5
CODGEO;Code géographique;Code géographique;13096;Saintes-Maries-de-la-Mer;CHAR;5
CODGEO;Code géographique;Code géographique;13097;Saint-Martin-de-Crau;CHAR;5
CODGEO;Code géographique;Code géographique;13100;Saint-Rémy-de-Provence;CHAR;5
CODGEO;Code géographique;Code géographique;13103;Salon-de-Provence;CHAR;5
CODGEO;Code géographique;Code géographique;13104;Sausset-les-Pins;CHAR;5
CODGEO;Code géographique;Code géographique;13105;Sénas;CHAR;5
CODGEO;Code géographique;Code géographique;14020;Argences;CHAR;5
CODGEO;Code géographique;Code géographique;14027;Les Monts d'Aunay;CHAR;5
CODGEO;Code géographique;Code géographique;14047;Bayeux;CHAR;5
CODGEO;Code géographique;Code géographique;14118;Caen;CHAR;5
CODGEO;Code géographique;Code géographique;14174;Condé-en-Normandie;CHAR;5
CODGEO;Code géographique;Code géographique;14191;Courseulles-sur-Mer;CHAR;5
CODGEO;Code géographique;Code géographique;14225;Dives-sur-Mer;CHAR;5
CODGEO;Code géographique;Code géographique;14228;Douvres-la-Délivrande;CHAR;5
CODGEO;Code géographique;Code géographique;14257;Évrecy;CHAR;5
CODGEO;Code géographique;Code géographique;14258;Falaise;CHAR;5
CODGEO;Code géographique;Code géographique;14333;Honfleur;CHAR;5
CODGEO;Code géographique;Code géographique;14342;Isigny-sur-Mer;CHAR;5
CODGEO;Code géographique;Code géographique;14366;Lisieux;CHAR;5
CODGEO;Code géographique;Code géographique;14371;Livarot-Pays-d'Auge;CHAR;5
CODGEO;Code géographique;Code géographique;14431;Mézidon Vallée d'Auge;CHAR;5
CODGEO;Code géographique;Code géographique;14478;Orbec;CHAR;5
CODGEO;Code géographique;Code géographique;14488;Ouistreham;CHAR;5
CODGEO;Code géographique;Code géographique;14514;Pont-l'Évêque;CHAR;5
CODGEO;Code géographique;Code géographique;14654;Saint-Pierre-en-Auge;CHAR;5
CODGEO;Code géographique;Code géographique;14689;Thury-Harcourt-le-Hom;CHAR;5
CODGEO;Code géographique;Code géographique;14712;Troarn;CHAR;5
CODGEO;Code géographique;Code géographique;14715;Trouville-sur-Mer;CHAR;5
CODGEO;Code géographique;Code géographique;14752;Villers-Bocage;CHAR;5
CODGEO;Code géographique;Code géographique;14762;Vire Normandie;CHAR;5
CODGEO;Code géographique;Code géographique;15014;Aurillac;CHAR;5
CODGEO;Code géographique;Code géographique;15119;Massiac;CHAR;5
CODGEO;Code géographique;Code géographique;15120;Mauriac;CHAR;5
CODGEO;Code géographique;Code géographique;15122;Maurs;CHAR;5
CODGEO;Code géographique;Code géographique;15138;Murat;CHAR;5
CODGEO;Code géographique;Code géographique;15162;Riom-ès-Montagnes;CHAR;5
CODGEO;Code géographique;Code géographique;15187;Saint-Flour;CHAR;5
CODGEO;Code géographique;Code géographique;15258;Vic-sur-Cère;CHAR;5
CODGEO;Code géographique;Code géographique;16015;Angoulême;CHAR;5
CODGEO;Code géographique;Code géographique;16028;Barbezieux-Saint-Hilaire;CHAR;5
CODGEO;Code géographique;Code géographique;16070;Chabanais;CHAR;5
CODGEO;Code géographique;Code géographique;16073;Chalais;CHAR;5
CODGEO;Code géographique;Code géographique;16078;Champniers;CHAR;5
CODGEO;Code géographique;Code géographique;16085;Chasseneuil-sur-Bonnieure;CHAR;5
CODGEO;Code géographique;Code géographique;16090;Châteauneuf-sur-Charente;CHAR;5
CODGEO;Code géographique;Code géographique;16102;Cognac;CHAR;5
CODGEO;Code géographique;Code géographique;16106;Confolens;CHAR;5
CODGEO;Code géographique;Code géographique;16167;Jarnac;CHAR;5
CODGEO;Code géographique;Code géographique;16206;Mansle-les-Fontaines;CHAR;5
CODGEO;Code géographique;Code géographique;16281;La Rochefoucauld-en-Angoumois;CHAR;5
CODGEO;Code géographique;Code géographique;16292;Ruffec;CHAR;5
CODGEO;Code géographique;Code géographique;16366;Segonzac;CHAR;5
CODGEO;Code géographique;Code géographique;17003;Aigrefeuille-d'Aunis;CHAR;5
CODGEO;Code géographique;Code géographique;17024;Aulnay;CHAR;5
CODGEO;Code géographique;Code géographique;17093;Le Château-d'Oléron;CHAR;5
CODGEO;Code géographique;Code géographique;17131;Cozes;CHAR;5
CODGEO;Code géographique;Code géographique;17140;Dolus-d'Oléron;CHAR;5
CODGEO;Code géographique;Code géographique;17161;La Flotte;CHAR;5
CODGEO;Code géographique;Code géographique;17168;Fouras;CHAR;5
CODGEO;Code géographique;Code géographique;17172;Gémozac;CHAR;5
CODGEO;Code géographique;Code géographique;17197;Jonzac;CHAR;5
CODGEO;Code géographique;Code géographique;17218;Marans;CHAR;5
CODGEO;Code géographique;Code géographique;17219;Marennes-Hiers-Brouage;CHAR;5
CODGEO;Code géographique;Code géographique;17224;Matha;CHAR;5
CODGEO;Code géographique;Code géographique;17236;Mirambeau;CHAR;5
CODGEO;Code géographique;Code géographique;17240;Montendre;CHAR;5
CODGEO;Code géographique;Code géographique;17241;Montguyon;CHAR;5
CODGEO;Code géographique;Code géographique;17283;Pons;CHAR;5
CODGEO;Code géographique;Code géographique;17299;Rochefort;CHAR;5
CODGEO;Code géographique;Code géographique;17300;La Rochelle;CHAR;5
CODGEO;Code géographique;Code géographique;17306;Royan;CHAR;5
CODGEO;Code géographique;Code géographique;17347;Saint-Jean-d'Angély;CHAR;5
CODGEO;Code géographique;Code géographique;17385;Saint-Pierre-d'Oléron;CHAR;5
CODGEO;Code géographique;Code géographique;17397;Saint-Savinien;CHAR;5
CODGEO;Code géographique;Code géographique;17415;Saintes;CHAR;5
CODGEO;Code géographique;Code géographique;17421;Saujon;CHAR;5
CODGEO;Code géographique;Code géographique;17434;Surgères;CHAR;5
CODGEO;Code géographique;Code géographique;17452;La Tremblade;CHAR;5
CODGEO;Code géographique;Code géographique;18015;Aubigny-sur-Nère;CHAR;5
CODGEO;Code géographique;Code géographique;18033;Bourges;CHAR;5
CODGEO;Code géographique;Code géographique;18057;Châteaumeillant;CHAR;5
CODGEO;Code géographique;Code géographique;18087;Dun-sur-Auron;CHAR;5
CODGEO;Code géographique;Code géographique;18108;La Guerche-sur-l'Aubois;CHAR;5
CODGEO;Code géographique;Code géographique;18109;Henrichemont-Menetou-Salon;CHAR;5
CODGEO;Code géographique;Code géographique;18127;Lignières;CHAR;5
CODGEO;Code géographique;Code géographique;18141;Mehun-sur-Yèvre;CHAR;5
CODGEO;Code géographique;Code géographique;18197;Saint-Amand-Montrond;CHAR;5
CODGEO;Code géographique;Code géographique;18207;Saint-Florent-sur-Cher;CHAR;5
CODGEO;Code géographique;Code géographique;18223;Saint-Martin-d'Auxigny;CHAR;5
CODGEO;Code géographique;Code géographique;18242;Sancoins;CHAR;5
CODGEO;Code géographique;Code géographique;18279;Vierzon;CHAR;5
CODGEO;Code géographique;Code géographique;19010;Argentat-sur-Dordogne;CHAR;5
CODGEO;Code géographique;Code géographique;19028;Bort-les-Orgues;CHAR;5
CODGEO;Code géographique;Code géographique;19031;Brive-la-Gaillarde;CHAR;5
CODGEO;Code géographique;Code géographique;19073;Égletons;CHAR;5
CODGEO;Code géographique;Code géographique;19121;Lubersac;CHAR;5
CODGEO;Code géographique;Code géographique;19138;Meyssac;CHAR;5
CODGEO;Code géographique;Code géographique;19153;Objat;CHAR;5
CODGEO;Code géographique;Code géographique;19255;Seilhac;CHAR;5
CODGEO;Code géographique;Code géographique;19272;Tulle;CHAR;5
CODGEO;Code géographique;Code géographique;19275;Ussel;CHAR;5
CODGEO;Code géographique;Code géographique;19276;Uzerche;CHAR;5
CODGEO;Code géographique;Code géographique;21023;Arnay-le-Duc;CHAR;5
CODGEO;Code géographique;Code géographique;21038;Auxonne;CHAR;5
CODGEO;Code géographique;Code géographique;21054;Beaune;CHAR;5
CODGEO;Code géographique;Code géographique;21154;Châtillon-sur-Seine;CHAR;5
CODGEO;Code géographique;Code géographique;21231;Dijon;CHAR;5
CODGEO;Code géographique;Code géographique;21292;Genlis;CHAR;5
CODGEO;Code géographique;Code géographique;21317;Is-sur-Tille;CHAR;5
CODGEO;Code géographique;Code géographique;21416;Mirebeau-sur-Bèze;CHAR;5
CODGEO;Code géographique;Code géographique;21425;Montbard;CHAR;5
CODGEO;Code géographique;Code géographique;21464;Nuits-Saint-Georges;CHAR;5
CODGEO;Code géographique;Code géographique;21501;Pouilly-en-Auxois;CHAR;5
CODGEO;Code géographique;Code géographique;21584;Saulieu;CHAR;5
CODGEO;Code géographique;Code géographique;21603;Semur-en-Auxois;CHAR;5
CODGEO;Code géographique;Code géographique;21607;Seurre;CHAR;5
CODGEO;Code géographique;Code géographique;21663;Venarey-les-Laumes;CHAR;5
CODGEO;Code géographique;Code géographique;22004;Bégard;CHAR;5
CODGEO;Code géographique;Code géographique;22020;Broons;CHAR;5
CODGEO;Code géographique;Code géographique;22025;Callac;CHAR;5
CODGEO;Code géographique;Code géographique;22050;Dinan;CHAR;5
CODGEO;Code géographique;Code géographique;22054;Erquy;CHAR;5
CODGEO;Code géographique;Code géographique;22055;Binic-Étables-sur-Mer;CHAR;5
CODGEO;Code géographique;Code géographique;22070;Guingamp;CHAR;5
CODGEO;Code géographique;Code géographique;22093;Lamballe-Armor;CHAR;5
CODGEO;Code géographique;Code géographique;22113;Lannion;CHAR;5
CODGEO;Code géographique;Code géographique;22121;Lanvollon;CHAR;5
CODGEO;Code géographique;Code géographique;22136;Loudéac;CHAR;5
CODGEO;Code géographique;Code géographique;22143;Matignon;CHAR;5
CODGEO;Code géographique;Code géographique;22147;Merdrignac;CHAR;5
CODGEO;Code géographique;Code géographique;22162;Paimpol;CHAR;5
CODGEO;Code géographique;Code géographique;22172;Plancoët;CHAR;5
CODGEO;Code géographique;Code géographique;22186;Pléneuf-Val-André;CHAR;5
CODGEO;Code géographique;Code géographique;22194;Plestin-les-Grèves;CHAR;5
CODGEO;Code géographique;Code géographique;22203;Plœuc-L'Hermitage;CHAR;5
CODGEO;Code géographique;Code géographique;22206;Châtelaudren-Plouagat;CHAR;5
CODGEO;Code géographique;Code géographique;22222;Plouha;CHAR;5
CODGEO;Code géographique;Code géographique;22262;Quintin;CHAR;5
CODGEO;Code géographique;Code géographique;22266;Rostrenen;CHAR;5
CODGEO;Code géographique;Code géographique;22278;Saint-Brieuc;CHAR;5
CODGEO;Code géographique;Code géographique;22362;Tréguier;CHAR;5
CODGEO;Code géographique;Code géographique;23008;Aubusson;CHAR;5
CODGEO;Code géographique;Code géographique;23013;Auzances;CHAR;5
CODGEO;Code géographique;Code géographique;23025;Bonnat;CHAR;5
CODGEO;Code géographique;Code géographique;23030;Bourganeuf;CHAR;5
CODGEO;Code géographique;Code géographique;23031;Boussac;CHAR;5
CODGEO;Code géographique;Code géographique;23075;Dun-le-Palestel;CHAR;5
CODGEO;Code géographique;Code géographique;23076;Évaux-les-Bains;CHAR;5
CODGEO;Code géographique;Code géographique;23096;Guéret;CHAR;5
CODGEO;Code géographique;Code géographique;23176;La Souterraine;CHAR;5
CODGEO;Code géographique;Code géographique;24037;Bergerac;CHAR;5
CODGEO;Code géographique;Code géographique;24064;Brantôme en Périgord;CHAR;5
CODGEO;Code géographique;Code géographique;24067;Le Bugue;CHAR;5
CODGEO;Code géographique;Code géographique;24164;Excideuil;CHAR;5
CODGEO;Code géographique;Code géographique;24167;Eymet;CHAR;5
CODGEO;Code géographique;Code géographique;24223;Lalinde;CHAR;5
CODGEO;Code géographique;Code géographique;24291;Montignac-Lascaux;CHAR;5
CODGEO;Code géographique;Code géographique;24294;Montpon-Ménestérol;CHAR;5
CODGEO;Code géographique;Code géographique;24299;Mussidan;CHAR;5
CODGEO;Code géographique;Code géographique;24309;Neuvic;CHAR;5
CODGEO;Code géographique;Code géographique;24311;Nontron;CHAR;5
CODGEO;Code géographique;Code géographique;24322;Périgueux;CHAR;5
CODGEO;Code géographique;Code géographique;24352;Ribérac;CHAR;5
CODGEO;Code géographique;Code géographique;24372;Saint-Astier;CHAR;5
CODGEO;Code géographique;Code géographique;24396;Saint-Cyprien;CHAR;5
CODGEO;Code géographique;Code géographique;24520;Sarlat-la-Canéda;CHAR;5
CODGEO;Code géographique;Code géographique;24547;Terrasson-Lavilledieu;CHAR;5
CODGEO;Code géographique;Code géographique;24551;Thiviers;CHAR;5
CODGEO;Code géographique;Code géographique;24571;Vergt;CHAR;5
CODGEO;Code géographique;Code géographique;25047;Baume-les-Dames;CHAR;5
CODGEO;Code géographique;Code géographique;25056;Besançon;CHAR;5
CODGEO;Code géographique;Code géographique;25315;L'Isle-sur-le-Doubs;CHAR;5
CODGEO;Code géographique;Code géographique;25356;Maîche;CHAR;5
