CODGEO;NBMENFISC21;NBPERSMENFISC21;MED21;PIMP21;TP6021;TP60AGE121;TP60AGE221;TP60AGE321;TP60AGE421;TP60AGE521;TP60AGE621;TP60TOL121;TP60TOL221;PACT21;PTSA21;PCHO21;PBEN21;PPEN21;PPAT21;PPSOC21;PPFAM21;PPMINI21;PPLOGT21;PIMPOT21;D121;D921;RD21
86294;5245;12585;23040;52,1;8,5;s;s;8,5;8,3;s;s;5,2;22,3;75,4;67,7;2,5;5,2;27,0;7,9;4,1;2,0;1,5;0,6;-14,4;14440;36000;2,5
87001;6109;13403;23160;53,7;9,3;s;10,5;9,9;s;7,1;s;5,6;26,5;70,2;63,5;1,9;4,8;33,7;6,1;4,3;1,7;2,0;0,6;-14,3;14100;35550;2,5
87002;4874;10603;22400;48,2;12,0;s;14,2;9,6;13,8;9,5;s;8,9;28,4;68,8;61,6;2,3;4,9;33,9;5,7;4,8;1,8;2,3;0,7;-13,2;13130;34060;2,6
87011;8412;15987;19630;37,1;22,3;27,6;31,0;25,3;23,7;18,2;18,6;17,4;38,4;49,6;41,1;2,1;6,4;47,4;8,4;6,3;1,5;3,7;1,1;-11,7;10480;31950;3,0
87014;4355;8972;21080;42,2;15,3;s;18,5;15,6;14,9;13,8;15,0;11,2;32,2;62,8;54,0;2,3;6,5;37,6;6,5;5,6;1,8;2,9;0,9;-12,5;12100;33210;2,7
87032;3004;5885;20510;39,2;18,8;s;28,0;s;20,5;16,1;s;15,2;36,5;55,7;46,5;2,5;6,7;44,3;7,0;4,9;1,6;2,5;0,8;-11,9;11150;31990;2,9
87064;7559;14453;20630;42,4;19,5;s;20,4;24,7;19,8;15,9;18,7;16,3;31,8;53,5;43,7;2,7;7,1;45,5;8,1;5,1;1,4;2,9;0,8;-12,2;10970;33660;3,1
87085;106833;216947;22620;51,8;16,6;32,2;21,3;19,0;14,9;10,0;9,8;5,1;36,4;68,5;61,4;2,3;4,8;33,5;7,0;6,5;1,9;3,2;1,4;-15,5;11610;37880;3,3
87106;2502;5618;22870;49,9;10,9;s;s;s;s;s;s;7,6;28,5;72,1;62,9;2,2;7,0;30,7;6,5;4,3;1,8;1,9;0,6;-13,6;13390;34640;2,6
87126;7095;14181;20620;41,2;17,9;s;18,4;20,3;22,3;14,8;15,2;14,7;32,8;55,4;47,4;2,4;5,6;44,1;7,9;4,9;1,4;2,7;0,8;-12,3;11280;32880;2,9
87154;10700;22253;22170;47,8;13,1;26,0;13,9;13,5;12,5;11,0;10,9;7,1;31,2;66,8;59,6;2,3;4,9;35,2;5,9;5,5;1,8;2,7;1,0;-13,4;12770;34650;2,7
87161;4977;10280;21860;45,0;13,7;s;14,2;12,9;15,5;11,9;12,9;9,0;31,1;63,4;55,2;2,2;6,0;37,4;7,6;4,8;1,7;2,3;0,8;-13,2;12670;34920;2,8
87187;7149;14240;21190;42,2;16,9;s;17,8;18,5;19,5;13,0;17,6;13,1;31,0;57,3;47,5;2,3;7,5;42,9;8,2;4,7;1,3;2,6;0,8;-13,1;11740;34320;2,9
