CODGEO;NBMENFISC21;NBPERSMENFISC21;MED21;PIMP21;TP6021;TP60AGE121;TP60AGE221;TP60AGE321;TP60AGE421;TP60AGE521;TP60AGE621;TP60TOL121;TP60TOL221;PACT21;PTSA21;PCHO21;PBEN21;PPEN21;PPAT21;PPSOC21;PPFAM21;PPMINI21;PPLOGT21;PIMPOT21;D121;D921;RD21
291;166864;361133;23760;53,7;10,6;22,2;12,2;10,6;9,7;7,3;8,0;5,0;27,7;72,4;64,4;2,6;5,4;30,6;7,3;5,2;1,9;2,3;1,0;-15,5;13610;38320;2,8
292;38733;79525;21890;45,8;13,3;17,2;15,1;14,8;13,6;10,7;12,3;9,7;26,5;62,0;52,5;3,0;6,5;38,1;7,6;5,3;1,9;2,6;0,8;-13,0;12670;34420;2,7
293;59604;126891;22490;47,8;11,3;16,1;12,2;12,6;11,4;8,8;10,6;7,2;26,0;65,6;55,1;2,6;7,9;35,0;8,5;5,1;1,9;2,3;0,9;-14,2;13400;36090;2,7
294;156405;322248;23300;51,9;10,2;15,8;11,7;11,5;10,8;8,0;8,2;6,2;23,7;62,7;54,2;2,7;5,8;38,8;8,8;4,4;1,5;2,1;0,8;-14,7;13760;37560;2,7
2A1;43690;86811;24100;55,8;14,2;16,6;14,4;14,1;12,7;13,2;17,3;8,2;23,1;71,7;61,5;2,3;7,9;31,1;10,4;4,7;1,0;2,8;0,9;-17,9;12270;42530;3,5
2A4;17346;35966;21690;49,5;19,6;20,8;22,3;20,6;19,7;17,3;19,8;11,8;29,2;65,5;52,6;3,1;9,8;30,5;16,0;5,0;1,4;2,7;0,9;-17,0;10920;39980;3,7
2B2;32964;65386;22100;49,3;18,8;25,9;20,9;20,4;16,8;15,8;20,4;9,5;31,3;71,1;59,9;2,1;9,1;29,3;10,4;6,4;1,3;3,8;1,3;-17,2;11140;40490;3,6
2B3;21482;42484;20670;43,1;22,3;32,8;23,4;24,3;21,0;19,6;23,2;14,6;33,8;62,8;51,7;2,4;8,7;35,4;9,5;6,8;1,4;4,1;1,3;-14,5;10430;35940;3,4
2B5;13343;26775;21270;47,3;20,1;23,7;21,8;21,2;21,1;18,1;19,0;13,6;29,2;64,3;49,7;3,5;11,1;34,4;12,4;5,1;1,3;2,8;1,0;-16,2;10690;38850;3,6
301;69576;145006;19860;39,2;22,8;34,2;28,1;26,8;23,4;17,9;15,8;12,0;40,6;58,1;49,0;3,4;5,7;37,9;8,1;8,7;2,2;4,6;1,9;-12,8;10380;33670;3,2
302;249352;554963;21850;48,4;19,1;27,4;22,0;21,6;18,6;15,4;14,1;8,4;36,4;68,5;59,3;3,2;6,0;30,7;9,6;6,7;2,1;3,2;1,4;-15,5;11020;38130;3,5
303;18303;37508;20130;39,7;22,1;31,4;26,1;26,7;22,2;18,3;15,9;14,7;39,4;59,6;48,6;3,9;7,1;37,4;8,9;7,2;1,8;3,9;1,5;-13,1;10290;34090;3,3
311;96128;228745;23950;55,0;11,1;17,8;12,0;11,4;10,2;9,4;11,0;5,7;24,6;78,1;70,4;3,0;4,7;24,9;7,3;5,2;2,1;2,2;0,9;-15,5;13430;38510;2,9
312;36673;73848;21150;44,7;18,0;29,6;22,5;20,5;18,2;13,8;15,0;11,7;34,1;58,2;49,4;2,9;5,9;40,6;8,1;6,4;1,8;3,4;1,2;-13,3;11320;34690;3,1
313;487590;1041768;24590;57,8;14,7;26,9;15,7;14,9;13,2;10,5;10,6;5,0;28,3;81,8;72,8;3,3;5,7;21,7;9,0;5,7;1,8;2,6;1,3;-18,2;12050;43710;3,6
321;36980;78595;23290;51,2;13,0;22,5;14,6;12,8;11,9;10,6;13,5;7,2;27,0;69,3;60,1;2,6;6,6;31,5;9,2;5,2;1,7;2,5;1,0;-15,2;12820;38210;3,0
322;30401;62947;21320;42,4;17,2;25,7;19,5;19,0;16,0;13,7;18,2;11,3;32,5;60,1;49,0;2,9;8,2;37,3;10,4;5,5;1,6;2,9;1,0;-13,3;11650;35700;3,1
323;19091;39351;21180;42,8;16,8;22,0;18,0;17,9;16,7;14,3;17,7;12,7;30,3;57,4;47,2;2,5;7,7;40,1;10,0;5,5;1,5;3,0;1,0;-13,0;11730;34640;3,0
331;39787;93991;21900;46,4;13,9;18,1;14,4;13,6;12,5;12,6;16,9;8,9;26,6;74,7;66,8;3,3;4,6;26,4;6,1;6,1;2,3;2,8;1,0;-13,3;12590;34850;2,8
332;446093;963253;24810;58,7;12,9;23,7;13,8;13,4;12,0;9,5;8,4;5,0;24,3;80,6;71,3;3,2;6,1;23,9;8,8;4,9;1,5;2,3;1,1;-18,2;12640;43490;3,4
333;58321;131223;21860;46,0;14,2;19,4;14,9;15,4;12,9;11,4;15,7;9,0;26,5;70,3;61,5;3,3;5,5;29,7;8,0;5,7;2,0;2,7;1,0;-13,7;12470;35280;2,8
