CODGEO;NBMENFISC21;NBPERSMENFISC21;MED21;PIMP21;TP6021;TP60AGE121;TP60AGE221;TP60AGE321;TP60AGE421;TP60AGE521;TP60AGE621;TP60TOL121;TP60TOL221;PACT21;PTSA21;PCHO21;PBEN21;PPEN21;PPAT21;PPSOC21;PPFAM21;PPMINI21;PPLOGT21;PIMPOT21;D121;D921;RD21
66;228970;471542;20650;43,8;21,2;33,4;27,1;24,8;21,8;15,4;14,7;10,8;37,9;59,6;49,5;3,5;6,6;37,1;9,9;7,8;2,0;4,1;1,7;-14,4;10650;35470;3,3
67;481046;1080532;24090;56,8;13,5;22,0;16,3;16,5;12,2;9,2;8,5;5,0;27,4;76,6;68,9;2,7;5,0;27,0;8,6;4,6;1,7;2,0;0,9;-16,8;12480;41490;3,3
68;327418;738460;24470;57,1;13,7;21,0;17,4;16,7;12,3;9,5;8,2;5,1;29,0;78,0;71,0;3,1;3,9;27,8;7,4;4,4;1,6;1,9;0,9;-17,6;12440;46240;3,7
69;790681;1771600;24480;58,6;14,8;22,0;15,9;16,9;14,5;10,6;9,3;5,0;27,5;79,4;71,5;3,1;4,8;23,3;10,9;5,0;1,9;2,1;1,0;-18,6;12100;45060;3,7
70;105603;229403;21860;47,4;13,6;19,7;16,6;15,2;12,4;10,6;11,3;7,6;29,9;67,8;60,2;2,6;5,0;33,3;6,8;5,6;2,0;2,6;1,0;-13,5;12690;34930;2,8
71;248910;525349;22170;49,0;13,3;19,7;16,0;15,6;12,4;10,2;10,8;7,0;27,9;66,0;57,6;2,5;5,9;35,3;7,7;5,3;1,9;2,4;1,0;-14,3;12770;36280;2,8
72;248165;548314;22230;49,5;13,5;22,3;16,7;15,4;12,4;9,4;8,5;5,4;32,1;69,0;61,9;2,5;4,6;32,3;7,2;5,7;2,2;2,4;1,1;-14,2;12620;35210;2,8
73;196556;425564;24270;57,8;11,2;16,6;12,8;13,0;10,8;8,3;8,2;5,5;21,8;72,8;64,2;3,1;5,5;28,9;10,7;3,9;1,6;1,6;0,7;-16,3;13390;40600;3,0
74;352959;789356;28120;58,0;9,5;12,9;9,5;10,1;9,1;8,6;8,4;5,0;18,8;83,7;76,2;3,3;4,2;21,1;9,2;2,4;1,0;0,9;0,5;-16,4;14120;60060;4,3
75;1007247;1958437;29730;68,8;15,6;18,3;11,9;16,2;17,7;16,6;12,3;5,6;21,2;86,9;75,2;3,0;8,7;18,9;20,0;2,7;0,7;1,3;0,7;-28,5;11240;71610;6,4
76;542966;1194396;22340;50,8;15,4;25,4;18,6;17,3;14,4;10,8;9,3;5,0;30,7;71,9;64,4;2,6;4,9;30,0;6,7;6,6;2,2;3,1;1,3;-15,2;12090;37680;3,1
77;557596;1392345;24640;62,4;12,4;18,2;14,3;14,1;11,3;9,2;7,8;5,0;26,7;82,6;75,8;3,0;3,8;22,5;7,0;5,1;2,3;1,9;0,9;-17,2;12850;40660;3,2
78;587390;1454441;28130;69,7;10,5;16,5;12,3;11,9;9,8;7,7;6,1;5,0;22,1;86,9;80,5;2,7;3,7;22,7;9,6;3,4;1,6;1,2;0,6;-22,6;13610;53140;3,9
79;167224;368796;22220;48,1;12,4;18,7;14,6;12,5;11,4;9,8;12,8;6,8;28,7;70,5;62,5;2,3;5,7;31,2;7,2;5,3;1,9;2,4;1,0;-14,2;12990;35770;2,8
80;238627;525364;21560;47,9;16,4;28,5;19,9;18,0;15,4;11,5;10,4;7,1;33,5;70,4;61,6;2,7;6,1;29,9;7,9;6,7;2,1;3,3;1,3;-14,9;11840;36220;3,1
81;175298;378558;21730;45,3;15,7;25,3;18,7;17,2;14,9;12,4;13,4;8,7;33,0;65,3;56,2;2,9;6,2;34,1;8,6;6,0;1,9;2,9;1,2;-14,0;12000;36040;3,0
82;113688;257766;21520;45,8;16,7;23,0;18,9;18,2;15,9;13,2;15,3;9,5;32,8;68,7;59,5;3,2;6,0;30,7;8,1;6,5;2,3;3,0;1,2;-14,0;11740;35450;3,0
83;503726;1051446;23120;53,0;15,6;22,5;18,7;18,2;15,6;12,9;11,2;7,7;28,3;64,1;54,3;3,1;6,7;35,9;11,8;5,1;1,5;2,6;1,0;-16,9;11870;40290;3,4
84;248159;553797;21370;47,1;19,9;26,6;22,8;23,5;18,9;16,8;14,1;8,9;35,3;67,8;57,8;3,6;6,4;30,2;10,6;6,6;2,2;3,0;1,4;-15,2;10950;37580;3,4
85;318721;708075;22790;50,2;9,1;12,3;9,6;9,5;9,3;7,2;9,4;5,4;21,5;66,6;58,8;2,6;5,2;34,5;8,8;4,2;1,8;1,7;0,7;-14,1;14200;35760;2,5
86;189604;404303;22220;48,8;14,7;28,4;17,1;15,4;13,3;10,1;11,9;6,8;33,0;69,1;61,2;2,5;5,4;32,2;7,8;5,5;1,9;2,5;1,1;-14,6;12180;36440;3,0
87;169832;345464;22140;49,0;16,1;29,5;19,7;17,8;15,3;11,3;12,0;7,7;35,3;65,9;58,5;2,3;5,1;35,6;7,1;6,0;1,8;3,0;1,2;-14,6;11800;36470;3,1
88;166405;349680;21550;46,3;15,3;24,1;19,2;17,8;14,8;11,4;10,2;7,3;33,2;66,2;58,4;2,8;5,0;34,0;7,8;5,9;1,9;2,8;1,2;-13,9;12110;35170;2,9
89;151342;323788;21940;50,2;14,9;20,5;18,7;17,7;15,4;10,8;9,2;7,7;32,1;66,0;57,6;2,6;5,8;34,6;7,9;6,0;2,1;2,8;1,1;-14,5;12220;35880;2,9
90;60507;131939;22920;53,3;16,3;25,6;19,7;19,3;15,2;11,3;10,1;5,9;34,0;75,4;68,2;3,4;3,8;28,5;6,3;5,7;1,9;2,6;1,2;-15,9;11820;40070;3,4
91;520852;1298022;25040;64,7;13,9;19,6;16,5;16,5;12,8;9,5;6,8;5,0;28,0;83,9;77,8;2,9;3,2;23,0;6,8;4,9;2,2;1,8;0,9;-18,6;12290;43330;3,5
92;695869;1567721;29720;70,4;12,4;16,5;11,2;13,2;12,5;11,9;10,1;5,0;20,2;92,4;84,2;2,9;5,3;18,0;12,5;2,9;1,1;1,2;0,6;-25,8;12700;62620;4,9
93;603965;1563586;19020;49,2;28,4;30,0;28,6;32,6;29,4;23,8;19,2;12,3;38,8;82,5;74,7;4,4;3,4;18,0;5,2;9,7;3,5;4,2;2,0;-15,4;9240;36000;3,9
94;570874;1353197;24270;62,4;17,2;22,5;17,9;19,4;17,5;14,2;10,6;5,5;27,4;86,1;78,1;3,2;4,8;20,6;8,3;5,2;1,9;2,2;1,1;-20,2;11200;46890;4,2
95;472649;1247400;23290;60,6;17,7;21,9;19,3;20,6;17,3;13,6;10,5;7,1;31,8;84,4;77,2;3,4;3,8;21,2;6,1;5,9;2,6;2,2;1,1;-17,6;11170;40900;3,7
972;147620;306764;19770;36,0;26,8;46,3;34,1;27,1;25,4;22,4;29,3;19,1;35,0;70,9;62,4;3,3;5,2;25,4;6,2;11,2;2,2;7,2;1,8;-13,7;9360;39070;4,2
974;334396;884176;17070;31,1;36,1;51,6;40,9;36,1;33,0;29,8;37,0;25,3;46,3;75,0;62,5;4,8;7,7;15,7;6,3;16,1;4,1;9,0;3,0;-13,1;8820;37890;4,3
