CODGEO;NBMENFISC21;NBPERSMENFISC21;MED21;PIMP21;TP6021;TP60AGE121;TP60AGE221;TP60AGE321;TP60AGE421;TP60AGE521;TP60AGE621;TP60TOL121;TP60TOL221;PACT21;PTSA21;PCHO21;PBEN21;PPEN21;PPAT21;PPSOC21;PPFAM21;PPMINI21;PPLOGT21;PIMPOT21;D121;D921;RD21
245804406;31906;62842;21680;48,7;16,9;29,7;23,0;20,0;17,0;11,4;8,4;6,4;33,6;62,3;55,7;2,1;4,5;37,9;6,7;7,5;1,9;4,1;1,5;-14,4;11710;35600;3,0
245804497;2319;4792;20790;41,2;17,7;s;s;s;s;16,3;s;12,5;35,5;63,0;55,1;2,4;5,5;36,1;6,3;6,7;2,1;3,4;1,2;-12,1;11690;32250;2,8
245900428;84446;186960;20630;45,7;19,4;31,9;23,8;22,9;17,3;13,6;11,2;6,0;35,5;68,3;61,6;2,9;3,8;31,7;5,8;8,2;2,5;3,9;1,8;-14,0;11280;34670;3,1
245900758;16272;40172;23180;51,3;10,8;16,4;13,5;11,0;9,4;8,1;8,9;5,1;26,5;75,9;68,1;2,4;5,4;26,7;7,5;4,9;2,2;1,9;0,8;-15,0;13560;37950;2,8
245901038;6020;14319;21750;46,7;15,6;s;16,6;17,4;14,7;12,3;16,1;9,0;36,3;73,1;64,6;2,5;6,0;28,2;6,8;5,8;2,2;2,7;0,9;-13,9;12320;35630;2,9
245901152;28088;68031;20010;40,8;20,6;30,7;26,2;21,2;19,1;15,1;14,5;7,9;39,7;70,9;64,3;3,2;3,4;28,1;4,1;9,3;3,2;4,3;1,8;-12,4;11250;32350;2,9
245901160;78934;179345;19690;42,4;23,6;36,2;28,8;25,3;21,4;17,1;15,2;9,7;40,6;70,0;62,6;2,9;4,5;27,2;6,7;9,9;2,9;4,9;2,1;-13,8;10510;34400;3,3
246000129;9192;22242;23390;57,8;11,8;18,1;15,1;12,7;10,6;7,9;s;6,0;25,5;76,9;71,4;2,9;2,6;27,1;4,6;5,8;2,6;2,3;0,9;-14,4;13220;35700;2,7
246000376;15605;36116;24090;58,7;9,6;19,9;10,8;10,0;8,8;6,5;s;5,0;22,4;76,9;71,2;2,5;3,2;27,1;6,1;5,1;2,0;2,2;0,9;-15,2;14030;37010;2,6
246000566;11972;28795;22710;51,6;10,2;15,0;12,1;9,1;10,5;8,3;9,0;5,0;25,1;76,9;69,5;2,7;4,7;25,6;5,7;5,7;2,3;2,5;0,9;-13,9;13790;35050;2,5
246000582;14586;39008;23540;58,3;11,7;16,6;12,0;13,2;10,5;9,8;10,1;5,1;29,5;81,4;75,3;3,2;2,9;23,3;4,7;5,3;2,7;1,9;0,7;-14,7;13140;36660;2,8
246000707;7926;20072;25450;63,0;6,7;s;7,5;7,4;5,6;5,5;s;5,0;17,4;70,3;63,7;2,5;4,1;23,0;20,5;3,2;1,7;1,1;0,4;-17,0;15360;40130;2,6
246000749;6450;15237;23960;57,5;9,4;s;12,5;10,4;8,2;6,4;s;5,4;24,3;76,0;68,7;2,7;4,6;29,0;7,0;4,0;1,8;1,6;0,6;-16,0;14050;39570;2,8
246000756;13062;30556;20880;45,4;19,3;28,3;25,6;21,2;17,8;13,6;12,8;8,0;38,9;68,6;61,9;3,1;3,6;30,5;6,2;8,0;2,8;3,7;1,5;-13,3;11300;33750;3,0
