CODGEO;NBMENFISC21;NBPERSMENFISC21;MED21;PIMP21;TP6021;TP60AGE121;TP60AGE221;TP60AGE321;TP60AGE421;TP60AGE521;TP60AGE621;TP60TOL121;TP60TOL221;PACT21;PTSA21;PCHO21;PBEN21;PPEN21;PPAT21;PPSOC21;PPFAM21;PPMINI21;PPLOGT21;PIMPOT21;D121;D921;RD21
4413;141223;306476;22800;53,0;16,4;27,2;19,7;18,5;14,5;11,0;9,3;5,0;29,8;75,8;65,9;2,7;7,2;26,6;8,6;6,0;2,0;2,7;1,3;-17,0;11710;40810;3,5
4414;40259;83436;21710;45,8;13,4;18,5;16,3;15,5;13,5;10,6;10,0;7,2;29,2;63,6;56,3;2,7;4,6;36,2;8,9;4,9;1,6;2,3;1,0;-13,6;12710;35180;2,8
4415;36593;80782;21610;48,2;15,8;21,9;19,8;19,1;15,3;11,3;9,4;8,2;32,5;68,0;57,5;2,8;7,7;31,0;9,5;6,0;2,3;2,6;1,1;-14,5;11930;35850;3,0
4416;52612;118330;22020;48,2;15,7;24,8;21,2;19,7;13,0;10,8;11,3;8,3;32,5;67,4;60,1;2,9;4,4;32,4;8,3;5,5;1,9;2,6;1,0;-13,6;11940;36230;3,0
4417;40541;84705;20970;43,8;16,9;26,3;21,9;20,2;16,6;12,2;10,2;8,3;35,4;64,5;56,3;3,4;4,8;35,5;6,7;6,5;2,0;3,2;1,3;-13,2;11730;33790;2,9
4418;46699;106744;32190;69,3;9,0;12,7;10,5;10,0;8,0;7,6;7,3;5,0;22,0;89,6;84,5;3,1;2,0;24,2;6,7;1,9;0,7;0,8;0,4;-22,4;14480;64700;4,5
4419;48414;106462;22680;50,3;12,1;18,5;15,2;13,8;10,2;9,4;10,9;6,9;26,4;70,0;62,4;2,3;5,3;31,5;8,3;4,7;1,7;2,2;0,8;-14,5;13140;36670;2,8
4420;53720;119626;22740;50,3;13,0;21,0;17,4;15,5;10,8;9,7;10,3;7,2;29,9;71,7;64,1;3,0;4,6;30,8;7,0;4,8;1,6;2,3;0,9;-14,3;12790;37730;2,9
4421;42095;90368;20710;41,4;19,7;32,2;24,8;21,2;17,8;15,6;14,0;10,4;38,1;63,6;54,2;2,6;6,8;31,6;10,3;7,2;2,1;3,6;1,5;-12,7;11090;34090;3,1
4422;44717;103356;24390;57,1;9,1;13,3;10,5;10,5;7,9;6,9;8,2;5,0;20,8;76,0;69,0;2,6;4,4;27,1;8,8;3,7;1,6;1,5;0,6;-15,6;14230;39420;2,8
4423;312262;690590;23690;56,0;16,0;24,9;18,9;19,6;14,9;10,7;8,8;5,0;29,2;76,4;68,2;2,8;5,4;26,5;9,2;5,4;1,8;2,4;1,2;-17,5;11710;42440;3,6
